Contig	T0_1_C	T0_2_C	T63_1_C	T63_2_C	T0_1_V	T0_2_V	T63_1_V	T63_2_V	K1_s	K2_s	K1_t	K2_t
K-k141_1061982	0	9.556016	0	0	0	0	0	0	4.2378316	0	96.5617	93.45572
K-k141_1081537	0	0	3.6772392	0	0	0	0	0	0	42.606308	0	7.8175926
K-k141_1367868	0	0	0	37.89689	0	0	0	0	0	61.586697	0	1.988522
K-k141_1371790	0	93.16063	0	0	0	0	0	0	34.60039	25.688072	730.6259	514.4005
K-k141_1435401||full	0	0	3.7536254	0	0	0	0	0	0	32.50795	0	5.4936595
K-k141_1651821	0	0	5.5662475	0	0	0	0	0	0	33.279472	0	9.835224
K-k141_1935435	0	19.267248	0	0	0	0	0	0	10.224038	0	194.60516	138.49567
K-k141_559793||full	0	0	7.612663	0	0	0	0	0	29.002367	67.937386	0	6.056173
K-k141_633808	0	0	5.173569	0	0	0	0	0	24.813906	113.856964	0	7.3340116
K-k141_833273	0	25.012693	0	0	0	0	0	0	14.666458	0	336.61404	289.23007
K-k141_844298||full	0	0	2.9786916	0	0	0	0	0	4.238896	8.45191	0	0
K-k141_974208	0	0	4.7564225	2.8171086	0	0	0	0	9.395149	70.7203	0	3.6754491
K-NODE_1358_length_10002_cov_173.615663	0	13.163677	0	0	0	0	0	0	7.398952	0	141.96373	107.947845
K-NODE_1474_length_9780_cov_89.144062	0	16.085045	0	0	0	0	0	0	10.526897	0	151.84247	122.227516
K-NODE_2622_length_7868_cov_124.634839	0	18.037947	0	0	0	0	0	0	6.0030713	0	146.41295	123.6455
K-NODE_4188_length_6453_cov_132.517818	0	14.573851	0	0	0	0	0	0	7.1170316	0	131.95164	105.111755
K-NODE_5333_length_5909_cov_432.233345	0	48.61481	0	0	0	0	0	0	27.736975	17.16713	572.91675	468.08606
K-NODE_5606_length_6140_cov_51.509449	0	69.62176	0	0	0	0	0	0	39.987	23.405123	794.7913	553.87463
K-NODE_5935_length_5919_cov_86.235334||full	0	39.053688	0	0	0	0	0	0	46.930214	0	704.66235	338.67776
K-NODE_7047_length_5173_cov_9.506252||full	0	0	17.246851	7.538195	0	0	0	0	51.531048	131.01105	0	12.571537
K-NODE_76_length_82847_cov_51.451952||0_partial_1	0	0	8.955676	3.9895813	0	0	0	0	32.960083	56.88949	0	6.281609
K-sec_assembly_k141_260958	0	12.256295	0	0	0	0	0	0	5.0404572	0	100.500755	65.60406
K-sec_assembly_k141_477864	0	18.62542	0	0	0	0	0	0	6.0965667	0	126.53116	116.65788
KSW-cf_coassembly_k141_1058757||full	0	55.734863	0	0	0	0	0	0	76.915146	0	1133.1016	539.6509
KSW-cf_coassembly_k141_2157560||full_1	0	0	9.529349	4.3841558	0	0	0	0	25.126734	51.52256	0	4.8856955
KSW-cf_coassembly_k141_4030065	0	89.962845	0	0	0	0	0	0	49.1009	32.176155	956.3683	817.13153
KSW-cf_coassembly_k141_422865	0	0	8.103225	2.8413513	0	0	0	0	8.621357	77.01918	0	0
KSW-T63_1_C_NODE_11388_length_5336_cov_5.079530||full	0	0	10.668852	2.7304432	0	0	0	0	0	67.44718	0	20.853174
KSW-T63_2_V_NODE_810_length_7995_cov_24.566625||full	0	0	0	0	0	0	0.89564544	13.92299	3.840093	0	0	0
K-NODE_10219_length_5365_cov_17.707345	0	0	2.7017708	0	0	0	0	0.8671967	0	66.57135	0	17.590405
